filename,width,height,class,xmin,ymin,xmax,ymax
acne-63-_jpg.rf.dddf4ed87c45f2f4d3e044635d38880b.jpg,640,640,Acne,200,53,421,200
acne-63-_jpg.rf.dddf4ed87c45f2f4d3e044635d38880b.jpg,640,640,Acne,204,389,402,467
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,415,339,432,349
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,355,340,395,350
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,356,359,365,366
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,347,378,359,388
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,411,412,438,431
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,393,451,411,460
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,425,369,441,385
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,322,500,343,510
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,301,503,313,510
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,237,501,250,507
224_jpg.rf.dd0c2be5bcba0892dd5e2c6380a9c148.jpg,640,640,Acne,217,492,232,498
308_jpg.rf.dbc85ec4f61d54ba638a535ce77653fe.jpg,640,640,Wrinkles,340,223,422,232
308_jpg.rf.dbc85ec4f61d54ba638a535ce77653fe.jpg,640,640,Wrinkles,439,216,485,233
308_jpg.rf.dbc85ec4f61d54ba638a535ce77653fe.jpg,640,640,Wrinkles,469,248,492,256
308_jpg.rf.dbc85ec4f61d54ba638a535ce77653fe.jpg,640,640,Wrinkles,390,241,465,251
308_jpg.rf.dbc85ec4f61d54ba638a535ce77653fe.jpg,640,640,Wrinkles,467,269,497,274
308_jpg.rf.dbc85ec4f61d54ba638a535ce77653fe.jpg,640,640,Acne,209,274,229,309
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,151,376,188,431
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,188,360,268,418
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,339,372,390,418
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,381,258,502,367
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,298,408,443,549
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,151,527,209,603
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,454,376,551,510
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,74,31,188,95
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,358,154,438,186
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,74,93,214,145
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,138,297,218,351
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,223,501,317,607
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,220,436,321,524
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,268,324,422,425
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,395,182,537,269
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,163,443,234,544
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,51,511,188,612
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,269,264,395,337
acne-18-_jpg.rf.dc61b81623586ecfede505c4140ac753.jpg,640,640,Acne,96,307,163,361
Image_81_jpg.rf.dd11673d0c14b2c4c1915b5d229d81b3.jpg,640,640,Acne,215,91,365,450
Image_81_jpg.rf.dd11673d0c14b2c4c1915b5d229d81b3.jpg,640,640,Acne,134,291,213,501
Image_81_jpg.rf.dd11673d0c14b2c4c1915b5d229d81b3.jpg,640,640,Acne,213,450,347,604
Image_81_jpg.rf.dd11673d0c14b2c4c1915b5d229d81b3.jpg,640,640,Acne,410,290,430,332
77_jpg.rf.db5f96a519248922b33e8f1894bb5d1c.jpg,640,640,Wrinkles,271,60,369,63
77_jpg.rf.db5f96a519248922b33e8f1894bb5d1c.jpg,640,640,Wrinkles,223,62,271,70
77_jpg.rf.db5f96a519248922b33e8f1894bb5d1c.jpg,640,640,Wrinkles,187,70,223,87
77_jpg.rf.db5f96a519248922b33e8f1894bb5d1c.jpg,640,640,Wrinkles,162,78,463,112
77_jpg.rf.db5f96a519248922b33e8f1894bb5d1c.jpg,640,640,Wrinkles,220,102,367,110
77_jpg.rf.db5f96a519248922b33e8f1894bb5d1c.jpg,640,640,Wrinkles,321,123,355,174
77_jpg.rf.db5f96a519248922b33e8f1894bb5d1c.jpg,640,640,Wrinkles,283,120,289,147
77_jpg.rf.db5f96a519248922b33e8f1894bb5d1c.jpg,640,640,Wrinkles,445,226,500,249
77_jpg.rf.db5f96a519248922b33e8f1894bb5d1c.jpg,640,640,Wrinkles,446,219,509,233
222_jpg.rf.de63d4108c9e51b9e1f20acafa19ed89.jpg,640,640,Acne,234,348,253,372
222_jpg.rf.de63d4108c9e51b9e1f20acafa19ed89.jpg,640,640,Acne,219,377,240,385
222_jpg.rf.de63d4108c9e51b9e1f20acafa19ed89.jpg,640,640,Acne,204,330,226,339
222_jpg.rf.de63d4108c9e51b9e1f20acafa19ed89.jpg,640,640,Acne,253,339,263,347
222_jpg.rf.de63d4108c9e51b9e1f20acafa19ed89.jpg,640,640,Acne,310,250,318,255
acne-78-_jpg.rf.dbd7c955d9cb156aedd6727ec8d46e1e.jpg,640,640,Acne,182,0,570,470
oily-221-_jpg.rf.dd91a86284e4e0b179cebee48ee212eb.jpg,640,640,Acne,108,358,535,566
609_jpg.rf.dba02dcc996341b104bc638fe0f639cb.jpg,640,640,Wrinkles,173,305,195,312
609_jpg.rf.dba02dcc996341b104bc638fe0f639cb.jpg,640,640,Acne,152,290,158,300
609_jpg.rf.dba02dcc996341b104bc638fe0f639cb.jpg,640,640,Acne,156,275,164,280
609_jpg.rf.dba02dcc996341b104bc638fe0f639cb.jpg,640,640,Acne,193,256,203,263
609_jpg.rf.dba02dcc996341b104bc638fe0f639cb.jpg,640,640,Acne,234,272,245,279
609_jpg.rf.dba02dcc996341b104bc638fe0f639cb.jpg,640,640,Acne,316,297,325,305
609_jpg.rf.dba02dcc996341b104bc638fe0f639cb.jpg,640,640,Acne,331,318,343,327
609_jpg.rf.dba02dcc996341b104bc638fe0f639cb.jpg,640,640,Acne,259,248,268,254
609_jpg.rf.dba02dcc996341b104bc638fe0f639cb.jpg,640,640,Acne,279,266,289,274
